index,Class
17,0
0,0
224,0
981,1
733,1
162,0
243,0
640,1
73,0
1000,1
229,0
22,0
183,0
228,0
198,0
784,1
973,1
674,1
668,1
127,0
781,1
975,1
628,1
100,0
630,1
34,0
748,1
799,1
663,1
192,0
1005,1
679,1
195,0
155,0
783,1
769,1
213,0
753,1
609,1
68,0
201,0
618,1
656,1
105,0
964,1
51,0
32,0
789,1
584,1
141,0
635,1
29,0
989,1
619,1
193,0
680,1
23,0
966,1
694,1
615,1
684,1
91,0
85,0
159,0
986,1
123,0
689,1
245,0
676,1
109,0
614,1
611,1
1034,1
629,1
599,1
976,1
166,0
713,1
988,1
691,1
84,0
67,0
1001,1
15,0
701,1
204,0
644,1
1002,1
690,1
110,0
152,0
6,0
124,0
90,0
140,0
685,1
134,0
595,1
638,1
165,0
970,1
53,0
596,1
706,1
617,1
61,0
971,1
983,1
985,1
653,1
69,0
722,1
113,0
28,0
66,0
634,1
961,1
960,1
683,1
115,0
965,1
222,0
98,0
792,1
173,0
211,0
749,1
1018,1
1029,1
590,1
767,1
19,0
122,0
790,1
671,1
247,0
182,0
785,1
233,0
35,0
692,1
601,1
994,1
199,0
602,1
647,1
798,1
625,1
624,1
760,1
89,0
26,0
137,0
108,0
1028,1
612,1
998,1
737,1
650,1
959,1
194,0
984,1
721,1
4,0
681,1
1027,1
648,1
5,0
1033,1
41,0
756,1
232,0
657,1
771,1
598,1
79,0
120,0
990,1
795,1
220,0
196,0
161,0
143,0
80,0
237,0
167,0
178,0
739,1
786,1
606,1
241,0
669,1
1006,1
1019,1
962,1
660,1
708,1
38,0
248,0
597,1
77,0
793,1
209,0
40,0
745,1
158,0
762,1
12,0
219,0
33,0
164,0
215,0
675,1
60,0
717,1
747,1
132,0
1007,1
147,0
996,1
126,0
763,1
1011,1
186,0
654,1
768,1
991,1
1012,1
114,0
608,1
97,0
95,0
710,1
42,0
705,1
666,1
1016,1
181,0
136,0
754,1
36,0
982,1
76,0
93,0
39,0
1014,1
704,1
55,0
168,0
65,0
980,1
117,0
45,0
170,0
200,0
589,1
774,1
779,1
632,1
125,0
46,0
967,1
751,1
588,1
104,0
72,0
796,1
56,0
633,1
25,0
16,0
662,1
732,1
594,1
655,1
649,1
702,1
670,1
118,0
761,1
10,0
163,0
758,1
726,1
148,0
673,1
780,1
184,0
153,0
782,1
610,1
216,0
997,1
639,1
119,0
776,1
138,0
240,0
1021,1
146,0
24,0
226,0
605,1
94,0
627,1
977,1
724,1
667,1
86,0
70,0
716,1
794,1
81,0
742,1
185,0
979,1
244,0
2,0
963,1
13,0
591,1
142,0
623,1
205,0
154,0
587,1
999,1
750,1
1025,1
133,0
175,0
757,1
700,1
665,1
31,0
43,0
7,0
958,1
1024,1
234,0
672,1
139,0
645,1
600,1
686,1
135,0
797,1
677,1
27,0
1009,1
190,0
30,0
112,0
131,0
1031,1
659,1
3,0
145,0
144,0
227,0
197,0
729,1
688,1
75,0
9,0
607,1
586,1
128,0
636,1
661,1
1003,1
1032,1
47,0
11,0
150,0
707,1
83,0
96,0
206,0
78,0
180,0
217,0
1020,1
765,1
238,0
697,1
176,0
621,1
172,0
738,1
62,0
626,1
1022,1
225,0
641,1
715,1
972,1
766,1
709,1
82,0
788,1
678,1
101,0
741,1
177,0
223,0
764,1
646,1
775,1
720,1
231,0
156,0
613,1
664,1
652,1
1013,1
603,1
642,1
740,1
236,0
171,0
773,1
593,1
18,0
693,1
8,0
64,0
44,0
218,0
111,0
212,0
49,0
978,1
59,0
755,1
