,Train_binary_acc,Valid_binary_acc,,,Train_binary_acc,Valid_binary_acc,,,Train_binary_acc,Valid_binary_acc,,,,Train_binary_acc,Valid_binary_acc,,,Train_binary_acc,Valid_binary_acc
0,0.997126437,1,,0,0.997126437,1,,,0.997126437,1,,,0,1,0.988505747,,0,0.997126437,1
1,0.997126437,1,,1,0.997126437,1,,,0.997126437,1,,,1,1,0.988505747,,1,0.997126437,1
2,0.997126437,1,,2,0.997126437,1,,,0.997126437,1,,,2,1,0.988505747,,2,0.997126437,1
3,0.997126437,1,,3,0.997126437,1,,,0.997126437,1,,,3,1,0.988505747,,3,0.997126437,1
4,1,1,,4,0.994252874,0.988505747,,,1,1,,,4,1,0.988505747,,4,1,1
5,1,1,,5,0.997126437,1,,,0.997126437,1,,,5,1,0.988505747,,5,1,1
6,1,1,,6,0.997126437,1,,,1,1,,,6,1,0.988505747,,6,1,1
7,1,1,,7,0.997126437,1,,,1,1,,,7,1,0.988505747,,7,1,1
8,1,1,,8,0.997126437,1,,,1,1,,,8,1,0.988505747,,8,1,1
9,1,1,,9,1,1,,,1,1,,,9,1,0.988505747,,9,1,1
